Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
,,140mm,2.0,"3' 3""",,136mm,,1770g,137mm,PL / LPL / PV,,,,
,,200mm,2.0,"5' 5""",,136mm,,3080g,220mm,PL / LPL / PV,,,,
,,,,,,,,,,,,,,
,Legacy,21mm,1.4,"13""",,136mm,,1590g,120mm,PL / LPL / PV,,,,
,,25mm,1.4,"12""",,136mm,,1500g,114mm,PL / LPL / PV,,,,
,,32mm,1.4,"12""",,136mm,,1500g,114mm,PL / LPL / PV,,,,
,,55mm,1.2,"18""",,136mm,,1400g,114mm,PL / LPL / PV,,,,
,,90mm,1.2,"3' 3""",,136mm,,1680g,120mm,PL / LPL / PV,,,,
,,135mm,2.0,"3' 4""",,136mm,,2680g,150mm,PL / LPL / PV,,,,
,,,,,,,,,,,,,,
,Variable Prescription,27mm,1.4,,,,,,,,,,,
,,32mm,1.4,,,,,,,,,,,
,,40mm,1.4,,,,,,,,,,,
,,48mm,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,
Meike,,16mm,2.6,,45mm,,,,,PL/EF/RF/E/L/Z,,,,
,,24mm,2.1,,45mm,,,,,PL/EF/RF/E/L/Z,,,,
,,35mm,2.1,"13""",45mm,85mm,82mm,1100g,103mm,PL/EF/RF/E/L/Z,11,,,
,,50mm,2.1,2',45mm,85mm,82mm,1100g,103mm,PL/EF/RF/E/L/Z,11,,,
,,85mm,2.1,"2' 9""",45mm,85mm,82mm,1100g,103mm,PL/EF/RF/E/L/Z,11,,,
,,105mm,2.1,,45mm,,,,,PL/EF/RF/E/L/Z,,,,
,,135mm,2.1,,45mm,,,,,PL/EF/RF/E/L/Z,,,,
,,,,,,,,,,PL/EF/RF/E/L/Z,,,,
NiSi,F3 Primes,18mm,,,,,,,,,,,,
(Nitecore),(Superior Prime),25mm,2.1,"7""",>46.5mm,95mm,,1330g,117mm,PL / EF / E,12,,,
,,35mm,2.0,"12""",>46.5mm,95mm,,1280g,117mm,PL / EF / E,12,,,
,,50mm,2.0,"1' 6""",>46.5mm,95mm,,1230g,117mm,PL / EF / E,12,,,
,,75mm,2.0,"2' 3""",>46.5mm,95mm,,1120g,117mm,PL / EF / E,12,,,
,,100mm,2.0,"1' 11""",>46.5mm,95mm,,1230g,117mm,PL / EF / E,12,,,
,,,,,,,,,,,,,,
,Athena,14mm,2.4,"9.8""",>46mm,80mm,none,770g,85mm,PL / RF / E,10,,,
,,18mm,2.2,"10""",>46mm,80mm,77mm,800g,81mm,PL / RF / E,10,,,
,,25mm,1.9,"11.8""",>46mm,80mm,77mm,770g,81mm,PL / RF / E,10,,,
,,35mm,1.9,"11.8""",>46mm,80mm,77mm,770g,81mm,PL / RF / E,10,,,
,,40mm,1.9,"15.7""",>46mm,80mm,77mm,800g,81mm,PL / RF / E,10,,,
,,50mm,1.9,"19.7""",>46mm,80mm,77mm,770g,81mm,PL / RF / E,10,,,
,,85mm,1.9,"31.5""",>46mm,80mm,77mm,770g,81mm,PL / RF / E,10,,,
,,135mm,2.2,3' 3',>46mm,80mm,77mm,980g,110mm,PL / RF / E,10,,,
,,,,,,,,,,,,,,
,Aureus,18mm,1.4,"10""",>46mm,90mm,86mm,1300g,110mm,PL,,,,
,,24mm,1.4,"1' 1""",>46mm,90mm,86mm,1300g,110mm,PL,,,,
,,35mm,1.4,"1' 2""",>46mm,90mm,86mm,1300g,110mm,PL,,,,
,,50mm,1.4,"1' 10""",>46mm,90mm,86mm,1300g,110mm,PL,,,,
,,85mm,1.4,3',>46mm,90mm,86mm,1300g,110mm,PL,,,,
,,,,,,,,,,,,,,
Rokinon,Xeen,14mm,3.1,"11""",43.3mm,114mm,,1170g,81mm,PL / EF / F / E / MFT,9,,,
,,16mm,2.6,"12""",43.3mm,114mm,,1175g,88mm,PL / EF / F / E / MFT,11,,,
,,20mm,1.9,"10""",43.3mm,114mm,,1179g,116mm,PL / EF / F / E / MFT,11,,,
,,24mm,1.5,"10""",43.3mm,114mm,,1180g,114mm,PL / EF / F / E / MFT,11,,,
,,35mm,1.5,"13""",43.3mm,114mm,,1360g,114mm,PL / EF / F / E / MFT,11,,,
,,50mm,1.5,"18""",43.3mm,114mm,,1160g,114mm,PL / EF / F / E / MFT,11,,,
,,85mm,1.5,"44""",43.3mm,114mm,,1245g,114mm,PL / EF / F / E / MFT,11,,,
,,135mm,1.5,"32""",43.3mm,114mm,,1382g,114mm,PL / EF / F / E / MFT,11,,,
,,,,,,,,,,,,,,
,Xeen CF,16mm,2.6,"12""",43.3mm,95mm,,900g,82mm,PL / EF / E,11,,,
,,24mm,1.5,"10""",43.3mm,95mm,,900g,90.5mm,PL / EF / E,11,,,
,,35mm,1.5,"13""",43.3mm,95mm,,1100g,114mm,PL / EF / E,11,,,
,,50mm,1.5,"18""",43.3mm,95mm,,900g,90.5mm,PL / EF / E,11,,,
,,85mm,1.5,"3' 9""",43.3mm,95mm,,1000g,90.5mm,PL / EF / E,11,,,
,,135mm,2.2,"2' 6""",43.3mm,95mm,,1400g,114mm,PL / EF / E,11,,,
,,,,,,,,,,,,,,
,Xeen Meister,14mm,2.6,"14""",43.2mm,134mm,,1500g,93mm,PL / EF / E,13,,,
,,24mm,1.3,"14""",43.2mm,114mm,,2000g,122mm,PL / EF / E,13,,,
,,35mm,1.3,"14""",43.3mm,114mm,,1900g,122mm,PL / EF / E,13,,,
,,50mm,1.3,"17""",43.3mm,114mm,,2000g,130mm,PL / EF / E,13,,,
,,85mm,1.3,"2' 7""",43.3mm,114mm,,2200g,156mm,PL / EF / E,13,,,
,,,,,,,,,,,,,,
Schneider,Xenon FF,18mm,2.4,"1' 4""",43.3mm,100mm,n/a,1390g,122.2mm,PL / EF / F,14,,,
,,25mm,2.1,1',43.3mm,100mm,95mm,1230g,122.2mm,PL / EF / F,14,,,
,,35mm,2.1,"1' 2""",43.3mm,100mm,95mm,1160g,122.2mm,PL / EF / F,14,,,
,,50mm,2.1,"1' 8""",43.3mm,100mm,95mm,1190g,122.2mm,PL / EF / F,14,,,
,,75mm,2.1,"3' 3""",43.3mm,100mm,95mm,1180g,122.2mm,PL / EF / F,14,,,
,,100mm,2.1,"3' 3""",43.3mm,100mm,95mm,1190g,122.2mm,PL / EF / F,14,,,
,,135mm,2.1,"3' 3""",43.3mm,100mm,95mm,1300g,132.5mm,PL / EF / F,14,,,
,,,,,,,,,,,,,,
,Cine-Tilt,25mm,2.1,,43.3mm,,,,,E,,,,
,,35mm,2.1,,43.3mm,,,,,E,,,,
,,50mm,2.1,,43.3mm,,,,,E,,,,
,,75mm,2.1,,43.3mm,,,,,E,,,,
,,100mm,2.1,,43.3mm,,,,,E,,,,
,,,,,,,,,,,,,,
Servicevision,NEW K35,15mm,1.5,,43.3mm,,,,,,,,,
,,18mm,1.5,,43.3mm,,,,,,,,,
,,100mm,1.4,,43.3mm,,,,,,,,,
,,,,,,,,,,,,,,
Sigma,Aizu Prime,18mm,,,,,,,,,,,,
,,21mm,,,,,,,,,,,,
,,25mm,1.3,"12""",46.3mm,95mm,,1700g,125mm,PL / E,13,,,
,,27mm,1.3,"13""",46.3mm,95mm,,1700g,125mm,PL / E,13,,,
,,32mm,1.3,"14""",46.3mm,95mm,,1700g,128mm,PL / E,13,,,
,,35mm,1.3,"14""",46.3mm,95mm,,1600g,128mm,PL / E,13,,,
,,40mm,1.3,"15""",46.3mm,95mm,,1600g,128mm,PL / E,13,,,
,,50mm,1.3,"19""",46.3mm,95mm,,1700g,126mm,PL / E,13,,,
,,65mm,1.3,2',46.3mm,95mm,,1600g,125mm,PL / E,13,,,
,,75mm,1.3,"2' 5""",46.3mm,95mm,,1700g,128mm,PL / E,13,,,
,,100mm,,,,,,,,,,,,
,,125mm,,,,,,,,,,,,
,,,,,,,,,,,,,,
,FF High Speed Prime,14mm,2.0,"11""",43.3mm,95mm,,1345g,111.5mm,PL / EF / E,9,weight / length in PL,,
,,20mm,1.5,"11""",43.3mm,95mm,,1240g,110mm,PL / EF / E,9,weight / length in PL,,
,,24mm,1.5,"10""",43.3mm,95mm,82mm,1030g,87mm,PL / EF / E,9,weight / length in PL,,
,,28mm,1.5,,43.3mm,95mm,82mm,1210g,100mm,PL / EF / E,9,weight / length in PL,,
,,35mm,1.5,"12""",43.3mm,95mm,82mm,1035g,87mm,PL / EF / E,9,weight / length in PL,,
,,40mm,1.5,,43.3mm,95mm,82mm,1470g,123mm,PL / EF / E,9,weight / length in PL,,
,,50mm,1.5,"1' 4""",43.3mm,95mm,82mm,1210g,94mm,PL / EF / E,9,weight / length in PL,,
,,65mm,1.5,"2' 2""",43.3mm,95mm,82mm,,120.6mm,PL / EF / E,9,,,
,,85mm,1.5,"2' 10""",43.3mm,95mm,86mm,1380g,119mm,PL / EF / E,9,weight / length in PL,,
,,105mm,1.5,,43.3mm,95mm,82mm,1705g,126mm,PL / EF / E,9,weight / length in PL,,
,,135mm,2.0,"2' 11""",43.3mm,95mm,82mm,1495g,107mm,PL / EF / E,9,weight / length in PL,,
,,,,,,,,,,,,,,
,FF Classic Art Prime,14mm,3.2,"11""",43.3mm,95mm,,,111.5mm,PL / EF / E,9,,,
,,20mm,2.5,"11""",43.3mm,95mm,,,110mm,PL / EF / E,9,,,
,,24mm,2.5,"10""",43.3mm,95mm,82mm,,87mm,PL / EF / E,9,,,
,,28mm,2.5,"12""",43.3mm,95mm,82mm,,100mm,PL / EF / E,9,,,
,,35mm,2.5,"12""",43.3mm,95mm,82mm,,87mm,PL / EF / E,9,,,
,,40mm,2.5,"1"" 4""",43.3mm,95mm,82mm,,123mm,PL / EF / E,9,,,
,,50mm,2.5,"1' 4""",43.3mm,95mm,82mm,,94mm,PL / EF / E,9,,,
,,65mm,2.5,"2' 2""",43.3mm,95mm,82mm,,120.6mm,PL / EF / E,9,,,
,,85mm,2.5,"2' 10""",43.3mm,95mm,82mm,,119mm,PL / EF / E,9,,,
,,105mm,2.5,"3' 4""",43.3mm,95mm,82mm,,126mm,PL / EF / E,9,,,
,,135mm,3.2,"2' 11""",43.3mm,95mm,82mm,,107mm,PL / EF / E,9,,,
,,,,,,,,,,,,,,
Sirui,Jupiter Macro,24mm,2.0,"9.5""",,95mm,92mm,1247g,104mm,PL / EF,11,,,
,,35mm,2.0,"9.5""",,95mm,92mm,1154g,109mm,PL / EF,11,,,
,,50mm,2.0,"9.5""",,95mm,92mm,1066g,115mm,PL / EF,11,,,
,,,,,,,,,,,,,,
SLR Magic,APO HyperPrime,25mm,2.1,"12""",46mm,95mm,82mm,1200g,105mm,PL,12,,,
,,32mm,2.1,"16""",46mm,95mm,82mm,1250g,105mm,PL,13,,,
,,50mm,2.1,2',46mm,95mm,82mm,1150g,105mm,PL,10,,,
,,85mm,2.1,"3' 3""",46mm,95mm,82mm,1150g,105mm,PL,13,,,
,,,,,,,,,,,,,,
,APO MicroPrime,25mm,2.1,"12""",43.27mm,85mm,82mm,900g,109mm,PL / EF,12,,,
,,32mm,2.1,"16""",43.27mm,85mm,82mm,900g,109mm,PL / EF,13,,,
,,50mm,2.1,"2' 3""",43.27mm,85mm,82mm,900g,109mm,PL / EF,10,,,
,,85mm,2.1,3',43.27mm,85mm,82mm,900g,109mm,PL / EF,13,,,
,,,,,,,,,,,,,,
Spirit Lab,Cine Primes,15mm,2.2,"12""",52mm,88mm,,1350g,110mm,PL / EF,,,,
,,24mm,1.6,"12""",52mm,88mm,,1360g,110mm,PL / EF,,,,
,,35mm,1.5,"12""",52mm,88mm,,1340g,110mm,PL / EF,,,,
,,50mm,1.3,"18""",52mm,88mm,,1380g,110mm,PL / EF,,,,
,,85mm,1.5,"33""",65mm,88mm,,1410g,110mm,PL / EF,,,,
,,100mm,2.2,"12""",65mm,88mm,,1200g,110mm,PL / EF,,1:1 macro,,
,,135mm,2.2,"40""",65mm,88mm,,1240g,110mm,PL / EF,,,,
,,,,,,,,,,,,,,
TLS,Leica Noctilux,50mm,0.95,"13""",,95mm,,900g,100mm,PL,,,,
,,,,,,,,,,,,,,
,Petzval,58mm,2.1,,,110mm,M105,,,PL,16,,,
,,85mm,2.3,"2' 10""",,110mm,M105,,,PL,16,,,
,,,,,,,,,,,,,,
,Vega,20mm,2.0,"8""",,110mm,,1360g,90mm,PL,,,,
,,24mm,1.5,"10""",,110mm,,1410g,90mm,PL,,,,
,,28mm,,,,,,,,,,,,
,,35mm,1.5,"12""",,110mm,,1570g,90mm,PL,,,,
,,50mm,1.5,"15""",,110mm,,1060g,80mm,PL,,,,
,,85mm,1.5,"2' 9""",,110mm,,1440g,90mm,PL,,,,
,,105mm,1.5,"3' 3""",,110mm,,1800g,100mm,PL,,,,
,,135mm,2.0,"3' 6""",,110mm,,1710g,117mm,PL,,,,
,,,,,,,,,,,,,,
Tokina Cinema ATX,Vista,18mm,1.5,"18""",46.7mm,114mm,none,2680g,168mm,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,and,21mm,1.5,"14""",46.7mm,114mm,112mm,2330g,,PL / EF / E / MFT,9,,,
,Vista-P (detuned),25mm,1.5,"14""",46.7mm,114mm,112mm,2190g,141mm,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,29mm,1.5,"14""",46.7mm,114mm,112mm,2250g,,PL / EF / E / MFT,9,,,
,,35mm,1.5,"16""",46.7mm,114mm,112mm,1950g,131mm,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,40mm,1.5,"17.7""",46.7mm,114mm,112mm,2240g,,PL / EF / E / MFT,9,,,
,,50mm,1.5,"19""",46.7mm,114mm,112mm,2110g,131mm,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,65mm,1.5,"2' 3""",46.7mm,114mm,112mm,2290g,,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,85mm,1.5,"37.5""",46.7mm,114mm,112mm,2150g,131mm,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,105mm,1.5,"3' 9""",46.7mm,114mm,112mm,2560g,,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,135mm,1.5,"4' 7""",46.7mm,114mm,112mm,2990g,,PL / EF / E / MFT,9,"also available as Vista One (single coated), Vista P (detuned) and Vista C (low contrast)",,
,,180mm,1.9,"4' 7""",46.7mm,114mm,112mm,2990g,190mm,PL / EF / E / MFT,9,,,
,,,,,,,,,,,,,,
,Macro,100mm,2.9,"11.8""",46.7mm,85mm,82mm,1310g,133mm,PL / EF / E / MFT,9,,,
,,,,,,,,,,,,,,
Tribe 7,Blackwing7,20.7mm,1.9,"9""",50mm,104mm,,,,PL,14,,,
,,23.7mm,1.9,,,,,,,PL,14,,,
,,27mm,1.9,"13""",55mm,104mm,,1700g,,PL,14,,,
,,37mm,1.9,"18""",60mm,104mm,,1600g,,PL,14,,,
,,47mm,1.9,"17.5""",60mm,104mm,,1500g,,PL,14,,,
,,57mm,1.9,"19""",60mm,104mm,,1600g,,PL,14,,,
,,77mm,1.9,"26""",60mm,104mm,,1400g,,PL,14,,,
,,107mm,1.9,"27""",62mm,104mm,,1400g,,PL,14,,,
,,137mm,1.9,"32""",62mm,104mm,,1500g,,PL,14,,,
,,,,,,,,,,,,,,
Vantage,One4,22mm,1.4,,>48mm,,,,,,,,,
,,27mm,1.4,"12""",>48mm,136mm,,3100g,200mm,LPL,,,,
,,35mm,1.4,"10""",>48mm,136mm,,2700g,166mm,LPL,,,,
,,50mm,1.4,"1' 2""",>48mm,120mm,,2000g,146mm,LPL,,,,
,,65mm,1.4,"1' 3""",>48mm,120mm,,1500g,135mm,LPL,,,,
,,80mm,1.4,"1' 6""",>48mm,120mm,,1600g,135mm,LPL,,,,
,,105mm,1.4,"2' 3""",>48mm,120mm,,1800g,135mm,LPL,,,,
,,140mm,1.4,,>48mm,,,,,,,,,
,,,,,,,,,,,,,,
,Hawk MHX,28mm,1.9,"10""",,136mm,,2800g,175mm,,,,,
,,35mm,1.9,"12""",,136mm,,3200g,203mm,,,,,
,,45mm,1.9,"10""",,136mm,,2800g,171mm,,,,,
,,65mm,1.9,"1' 2""",,120mm,,2100g,150mm,,,,,
,,85mm,1.9,"1' 3""",,120mm,,1600g,140mm,,,,,
,,105mm,1.9,"1' 8""",,120mm,,1700g,140mm,,,,,
,,135mm,1.9,"2' 3""",,120mm,,1900g,140mm,,,,,
,,180mm,1.9,"3' 2""",,120mm,,3000g,169mm,,,,,
,,,,,,,,,,,,,,
Zero Optik,Noct-NIKKOR,58mm,1.3,"13""",43.3mm,95mm,,900g,100mm,PL,,,,
,,,,,,,,,,,,,,
ZY Optics,Speedmaster,50mm,1.0,"2' 2""",43.3mm,114mm,105mm,1800g,136mm,PL / EF,9,,,
