name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil,magnification ratio
,28mm,2.1,"11""",39mm,80mm,1021g,79mm,PL,6,89.9mm,
,32mm,2.1,2',31mm,80mm,454g,54mm,PL,6,29.2mm,
,40mm,2.1,"1' 4""",39mm,80mm,454g,57mm,PL,6,36.5mm,
,50mm,2.1,"1' 6""",43mm,80mm,567g,54mm,PL,6,55mm,
,60mm,2.9,,,,,,,,53.7mm,
,85mm,2.1,3',43mm,80mm,680g,54mm,PL,6,51.8mm,
,100mm,2.1,"3' 4""",43mm,80mm,794g,76mm,PL,6,66.8mm,
,135mm,2.1,5',43mm,80mm,1021g,102mm,PL,6,10.4mm,
,180mm,3.0,5',43mm,80mm,1334g,127mm,PL,6,0.9mm,
,300mm,3.0,,,,,,PL,6,-157.7mm,
,,,,,,,,,,,
Standard Primes MKI,16mm,2.2,,,,,,Std,,,
,24mm,2.2,,,,,,Std,,,
,32mm,2.2,,,,,,Std,,,
,50mm,2.2,,,,,,Std,,,
,85mm,2.2,,,,,,Std,,,
,100mm,2.2,,,,,,Std,,,
,135mm,2.2,,,,,,Std,,,
