manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
,,35mm,2.6,"1' 10""",>60mm,95mm,92mm,1400g,131.5mm,PL / LPL,15,rear net holder
,,45mm,2.9,2',>60mm,95mm,92mm,1460g,131.5mm,PL / LPL,15,rear net holder
,,55mm,2.8,"11.7""",>60mm,95mm,92mm,1640g,154.5mm,PL / LPL,15,rear net holder
,,70mm,2.6,"1' 8""",>60mm,95mm,92mm,1060g,124.5mm,PL / LPL,15,rear net holder
,,90mm,2.2,3',>60mm,95mm,92mm,1040g,124.5mm,PL / LPL,15,rear net holder
,,100mm,2.2,"2' 4""",>60mm,95mm,92mm,1160g,124.5mm,PL / LPL,15,rear net holder
,,120mm,2.6,"1' 10""",>60mm,95mm,92mm,1660g,175mm,PL / LPL,15,rear net holder
,,180mm,3.6,5',>60mm,95mm,92mm,1620g,154.5mm,PL / LPL,15,rear net holder
,,,,,,,,,,,,
Masterbuilt,Ultra-65,21mm,1.8,"18""",>61mm,114mm,,,,LPL / SP70,,
,,24mm,1.8,"15""",>61mm,114mm,,,,LPL / SP70,,
,,29mm,1.8,"15""",>61mm,114mm,,,,LPL / SP70,,
,,35mm,1.8,"14""",>61mm,114mm,,,,LPL / SP70,,
,,40mm,1.8,"16""",>61mm,114mm,,,,LPL / SP70,,
,,55mm,1.8,"17""",>61mm,114mm,,,,LPL / SP70,,
,,,,,,,,,,,,
Panavision,System 65,24mm,3.5,"18""",,,,,,PV 65,,
,,35mm,2.8,"18""",,114mm,,,,PV 65,,
,,40mm,2.8,"18""",,114mm,,,,PV 65,,
,,50mm,2.0,2',,114mm,,,,PV 65,,
,,75mm,2.0,"2' 3""",,114mm,,,,PV 65,,
,lightweight,75mm,1.9,3',,,,,,PV 65,,
,,100mm,2.0,2',,114mm,,,,PV 65,,
,lightweight,100mm,1.9,3',,,,,,PV 65,,
,,150mm,1.9,4',,114mm,,,,PV 65,,
,,180mm,2.0,"5' 3""",,114mm,,,,PV 65,,
,,300mm,2.8,"8' 6""",,138mm,,,,PV 65,,
,,400mm,2.8,,,,,,,PV 65,,
,,,,,,,,,,,,
,System 65 zoom,60 - 360mm,6.3,"8""",,,,,,PV 65,,
,,150 - 600mm,6.3,"10""",,114mm,,,,PV 65,,
,,,,,,,,,,,,
,Sphero 65,24mm,2.8,"19""",,114mm,,,,PV 65,,
,,35mm,2.8,"20""",,114mm,,,,PV 65,,
,,40mm,2.8,"16""",,114mm,,,,PV 65,,
,,50mm,2.0,"22""",,114mm,,,,PV 65,,
,,75mm,2.0,"27""",,114mm,,,,PV 65,,
,,100mm,2.0,"42""",,114mm,,,,PV 65,,
,,135mm,2.8,"60""",,114mm,,,,PV 65,,
,,180mm,2.8,"60""",,114mm,,,,PV 65,,
,,300mm,2.8,"120""",,122mm,,,,PV 65,,
,,,,,,,,,,,,
,lightweight zoom,35 - 68mm,2.8,"36""",,,,,,PV 65,,
,,50 - 150mm,4.5,"7""",,,,,,PV 65,,
,,,,,,,,,,,,
,Ultra PV 70,35mm,2.8,2',,177mm,,,,,,
,(1.3x anamorphic),40mm,2.8,"2' 6""",,136mm,,,,,,
,,50mm,2.8,2',,136mm,,,,,,
,,65mm,2.0,"22""",,136mm,,,,,,
,,65mm,2.0,"19""",,136mm,,,,,,
,,75mm,2.0,3',,113mm,,,,,,
,,75mm,2.8,2',,113mm,,,,,,
,,100mm,2.8,"3' 6""",,113mm,,,,,,
,,180mm,2.8,5',,136mm,,,,,,
,,290mm,4.0,9',,113mm,,,,,,
,,400mm,6.0,8',,113mm,,,,,,
,,,,,,,,,,,,
,Super PV 70,28mm,2.8,"24""",,,,,,,,
,,35mm,2.8,"15""",,83mm,,,,PV 65,,
,,50mm,2.0,"36""",,83mm,,,,PV 65,,
,,50mm,2.0,"24""",,83mm,,,,PV 65,,
,,75mm,2.8,"33""",,98mm,,,,PV 65,,
,,100mm,2.5,"39""",,70mm,,,,PV 65,,
,,150mm,3.0,"33""",,93mm,,,,PV 65,,
,,300mm,2.8,"102""",,138mm,,,,PV 65,,
,,,,,,,,,,,,
,Auto Panatar,35mm,2.8,"24""",,177mm,,,,PV 65,,
,(1.25x anamorphic),40mm,2.8,"30""",,136mm,,,,PV 65,,
,,50mm,2.8,"24""",,136mm,,,,PV 65,,
,,65mm,2.0,"22""",,136mm,,,,PV 65,,
,,65mm,2.0,"19""",,136mm,,,,PV 65,,
,,75mm,2.0,"36""",,114mm,,,,PV 65,,
,,75mm,2.8,"24""",,114mm,,,,PV 65,,
,,100mm,2.8,"42""",,114mm,,,,PV 65,,
,,135mm,2.8,"63""",,114mm,,,,PV 65,,
,,180mm,2.8,"60""",,114mm,,,,PV 65,,
,,290mm,4.0,"108""",,114mm,,,,PV 65,,
,,400mm,6.0,"96""",,114mm,,,,PV 65,,
,,,,,,,,,,,,
,Ultra Vista,35mm,2.5,,,112.7mm,,,,PV 65,,
,(1.65x anamorphic),40mm,2.5,,,112.7mm,,,,PV 65,,
,,50mm,2.5,,,112.7mm,,,,PV 65,,
,,65mm,2.5,,,112.7mm,,,,PV 65,,
,,75mm,2.5,,,112.7mm,,,,PV 65,,
,,100mm,2.5,,,112.7mm,,,,PV 65,,
,,150mm,2.8,,,123mm,,,,PV 65,,
,,,,,,,,,,,,
,Ultra Panatar II,35mm,2.8,2',,126.2mm,,2600g,167mm,,,
,(1.3x anamorphic),40mm,2.8,2',,126.2mm,,2900g,180mm,,,
,,50mm,2.8,2',,126.2mm,,2600g,166mm,,,
,,65mm,2.8,2',,126.2mm,,2900g,166mm,,,
,,85mm,2.8,3',,126.2mm,,2900g,180mm,,,
,,100mm,2.8,"2' 6""",,126.2mm,,2800g,173mm,,,
,,135mm,2.8,"3' 6""",,126.2mm,,3000g,189mm,,,
,,,,,,,,,,,,
,Ultra Panatar,35mm,2.8,,,142mm,,,,PV 65,,
,(1.3x anamorphic),40mm,2.8,,,142mm,,,,PV 65,,
,,50mm,2.8,,,142mm,,,,PV 65,,
,,65mm,2.8,,,142mm,,,,PV 65,,
,,75mm,2.8,,,112.7mm,,,,PV 65,,
,,100mm,2.8,,,112.7mm,,,,PV 65,,
,,135mm,2.8,,,112.7mm,,,,PV 65,,
,,180mm,2.8,,,112.7mm,,,,PV 65,,
,,300mm,3.5,,,152mm,,,,PV 65,,
,,,,,,,,,,,,
,slant focus,35mm,2.8,"12""",,,,,,PV 65,,
,,45mm,2.8,"16""",,,,,,PV 65,,
,,,,,,,,,,,,
,fisheye,19mm,4.5,"18""",,,,,,PV 65,,
,fisheye,24mm,3.5,"12""",,,,,,PV 65,,
,,,,,,,,,,,,
,macro,55mm,4.0,"11""",,,,,,PV 65,,
,,,,,,,,,,,,
,1.4x extender,,,,,,,,,PV 65,,
,,,,,,,,,,,,
Servicevision,UltraScorpio 70,18mm,1.4,,60mm,110mm,,c. 1650g,,"PL, LPL, XPL",,
,,25mm,1.4,,60mm,110mm,,c. 1650g,,"PL, LPL, XPL",,
,,35mm,1.4,,60mm,110mm,,c. 1650g,,"PL, LPL, XPL",,
,,50mm,1.4,,60mm,110mm,,c. 1650g,,"PL, LPL, XPL",,
,,85mm,1.4,,60mm,110mm,,c. 1650g,,"PL, LPL, XPL",,
,,105mm,1.4,,60mm,110mm,,c. 1650g,,"PL, LPL, XPL",,
,,,,,,,,,,,,
Vantage,Hawk 65,40mm,2.2,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,(1.3x anamorphic),45mm,2.2,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,50mm,2.2,"2' 7""",,,,,,,,1.3x squeeze anamorphic
,,60mm,2.2,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,70mm,2.2,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,80mm,2.8,"2' 7""",,,,,,,,1.3x squeeze anamorphic
,,95mm,2.8,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,120mm,2.8,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,150mm,2.8,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,200mm,4.0,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,280mm,4.0,"3' 3""",,,,,,,,1.3x squeeze anamorphic
,,,,,,,,,,,,
Whitepoint Optics,WPO TS70,30mm,3.5,"14""",82mm,114mm,,2750g,155mm,"LPL, PL, EF, E",10,based on Hasselblad C series lenses
(Hasselblad),,40mm,4.0,"14""",82mm,114mm,,2630g,151mm,"LPL, PL, EF, E",10,based on Hasselblad C series lenses
(0.7x speed converter,,50mm,,,,,,,,,,
available),,60mm,3.5,"18""",82mm,114mm,,1740g,120mm,"LPL, PL, EF, E",10,based on Hasselblad C series lenses
,,80mm,2.8,"2' 2""",82mm,114mm,,1540g,115mm,"LPL, PL, EF, E",10,based on Hasselblad C series lenses
,,100mm,3.5,"2' 8""",82mm,114mm,,1520g,121mm,"LPL, PL, EF, E",10,based on Hasselblad C series lenses
,,120mm,4.0,"3' 3""",82mm,114mm,,1850g,147mm,"LPL, PL, EF, E",10,based on Hasselblad C series lenses
,,150mm,,,,,,,,,,based on Hasselblad C series lenses
,,250mm,,,,,,,,,,based on Hasselblad C series lenses
,,500mm,,,,,,,,,,
