manufacturer,name,focal length,equivalent FL,angle of view,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,notes
,,28mm,,,,,,43mm,218g,75mm,,
,,40mm,,,,,,43mm,218g,75mm,,
,,55mm,,,,,,43mm,218g,75mm,,
,,,,,,,,,,,,
,35mm Primes for Probe II,9mm,,,,,TV Safe,,,,,
,,12mm,,,,,Academy,,,,,
,,16mm,,,,,Full,,,,,
,,20mm,,,,,Full,,,,,
,,32mm,,,,,Full,,,,,
,,40mm,,,,,Full,,,,,
,,,,,,,,,,,,
,16mm Primes for Probe II,5mm,,,,,,,,,,
,,7mm,,,,,,,,,,
,,9.5mm,,,,,,,,,,
,,12.5mm,,,,,,,,,,
,,18mm,,,,,,,,,,
,,24mm,,,,,,,,,,
,,,,,,,,,,,,
,Probe I,35mm Module,,,16.0,,,,,,,
,,16mm Module,,,8.0,,,,,,,
,,90° Module,,,,,,,,,,
,,,,,,,,,,,,
,35mm Primes for Probe I,10mm,,,,,,,,,,
,,14mm,,,,,,,,,,
,,16mm,,,,,,,,,,
,,24mm,,,,,,,,,,
,,32mm,,,,,,,,,,
,,50mm,,,,,,,,,,
,,75mm,,,,,,,,,,
,,100mm,,,,,,,,,,
,,,,,,,,,,,,
,16mm Primes for Probe I,5mm,,,,,,,,,,
,,6.5mm,,,,,,,,,,
,,9mm,,,,,,,,,,
,,12.5mm,,,,,,,,,,
,,18mm,,,,,,,,,,
,,28mm,,,,,,,,,,
,,40mm,,,,,,,,,,
,,60mm,,,,,,,,,,
,,,,,,,,,,,,
Cine Photo Tech,Superscope,Direct Module,,,5.7,,,,,,,
,,8mm,,,,,,,,,,
,,10mm,,,,,,,,,,
,,15mm,,,,,,,,,,
,,25mm,,,,,,,,,,
,,32mm,,,,,,,,,,
,,40mm,,,,,,,,,,
,,60mm,,,,,,,,,,
,,,,,,,,,,,,
,Supersnorkel,360° Module,,,8.0,,,,,,,
,,8mm,,,,,,,,,,
,,10mm,,,,,,,,,,
,,15mm,,,,,,,,,,
,,18mm,,,,,,,,,,
,,20mm,,,,,,,,,,
,,24mm,,,,,,,,,,
,,32mm,,,,,,,,,,
,,40mm,,,,,,,,,,
,,60mm,,,,,,,,,,
,,,,,,,,,,,,
Kenworthy-Nettman,Snorkel camera system,,,,,,,,,,,
,,,,,,,,,,,,
Praxis,Pure Reach,,,,5.0,,,,6800g,915mm,PL,
