name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil
,40mm,2.0,"24""",,67mm,681g,92mm,PV,,
,50mm,2.0,"27""",,92mm,908g,86mm,PV,,
,75mm,2.0,"27""",,92mm,1362g,104mm,PV,,
,100mm,2.4,"40""",,92mm,1362g,104mm,PV,,
,150mm,2.8,"60""",,92mm,1022g,104mm,PV,,
,400mm,4.0,"180""",,110mm,3541g,386mm,PV,,
,500mm,4.0,"276""",,135mm,5266g,557mm,PV,,
,,,,,,,,,,
Close Focus / Macro,17mm,1.9,"10""",,,,,PV,,
,20mm,4.0,"8""",,89mm,726g,67mm,PV,,
,24mm,2.8,"8""",,89mm,840g,67mm,PV,,
,28mm,2.8,"8""",,89mm,772g,67mm,PV,,
,35mm,2.8,"8""",,,,,PV,,
,40mm,2.8,,,,,,PV,,
,60mm,2.8,,,,,,PV,,
,90mm,2.8,,,,,,PV,,
,100mm,2.8,,,,,,PV,,
