manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
,Compact,18 - 100mm,5.6,,,,,,,PL,,
,Varotal,18 - 100mm,3.0,"2' 6""",28mm,150mm,,6237g,,PL,,
,Varotal,20 - 100mm,3.1,"2' 4""",,144mm,,5216g,,PL,,
,Super Cine Varotal,25 - 250mm,3.1,"7' 6""",26 - 38mm,158mm,,8600g,380mm,PL,,
,Cine Varotal,25 - 250mm,3.9,"5' 6""",28 - 41mm,121mm,,6200g,300mm,PL,,
,Cinetal,25 - 250mm,3.7,"5' 6""",28mm,150mm,,8165g,,PL,,
,,,,,,,,,,,,
Duclos Lenses,Tokina,11 - 16mm,2.8,"12""",32 - 41mm,80mm,,,,PL,,
,Nikkor,70 - 200mm,3,,,,,,,PL,,
,,,,,,,,,,,,
DZOFilm,Pictor,12 - 25mm,2.8,"16""",31.5mm,95mm,86mm,1600g,150mm,PL / EF,16,
,,14 - 30mm,2.8,2',31.5mm,95mm,86mm,1880g,173mm,PL / EF,16,
,,20 - 55mm,2.8,2',31.5mm,95mm,86mm,1520g,164mm,PL / EF,16,
,,50 - 125mm,2.8,"2' 8""",31.5mm,95mm,86mm,1700g,175mm,PL / EF,16,
,Tango,18 - 90mm,2.8,,,,,,,,,
,,65 - 280mm,,,,,,,,,,
,,25 - 300mm,2.8,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fujinon,HK Premier,14.5 - 45mm,2.0,"2' 3.5""",,136mm,,6500g,310mm,PL,,
,HK Premier,18 - 85mm,2.0,"2' 8.4""",,136mm,,6900g,352mm,PL,,
,HK Premier,24 - 180mm,2.6,"4' 1.2""",,136mm,,8900g,405mm,PL,,
,HK Premier,75 - 400mm,2.8 - 3.8,"6' 7.2""",,136mm,,8900g,444mm,PL,,
,ZK Cabrio,14 - 35mm,2.9,2',31.5mm,114mm,,2900g,231mm,PL,,
,ZK Cabrio,19 - 90mm,2.8,"2' 10""",33.5 - 38.5mm,114mm,,2700g,223mm,PL,9,detachable servo handgrip unit
,ZK Cabrio,85 - 300mm,2.9 - 4.0,"3' 11""",31.5mm,114mm,,3000g,249mm,PL,9,"85-220 at T2.9, 300 at T4.0"
,ZK Cabrio,25 - 300mm,3.5 - 3.85,4',,136mm,,8400g,410mm,PL,,
,XK Cabrio,20 - 120mm,3.5,"3' 8""",,114mm,,2400g,226mm,PL,9,detachable servo handgrip unit
,HZK Duvo,25 - 1000mm,2.8 - 5.0,"11' 5""",28.5mm,square,,28000g,669mm,PL,9,"box lens form, inbuilt 1.5x expander to cover 41.3mm"
,HZK Duvo,24 - 300mm,2.9,,,,,2950g,270.5mm,PL,,inbuilt 1.5x expander to cover 41.3mm
,HZK Duvo,14 - 100mm,2.9,,,,,2650g,267mm,PL,,inbuilt 1.5x expander to cover 41.3mm
,,,,,,,,,,,,
GL Optics,Angenieux,45 - 90mm,2.9,,,95mm,,,,PL / EF / F / E,,
,Leica,80 - 200mm,4.2,,,95mm,,,,PL / EF / F / E,,
,Sigma,18 - 35mm,2.0,,,95mm,,1500g,,PL,,
,Sigma,50 - 100mm,2.0,,,95mm,,2000g,,PL,,
,Canon,70 - 200mm,3.0,,,95mm,,,,PL,,
,Tokina,11 - 20mm,3.0,,,95mm,,,,PL,,
,Tokina,16 - 28mm,3.0,,,95mm,,,,PL,,
,,,,,,,,,,,,
Hawk,,10 - 24mm,2.5,"9.5""",,156mm,,3950g,185mm,PL,,
,,17 - 35mm,2.8,1',,110mm,,1700g,127mm,PL,,
,,150 - 450mm,2.8,10',,156mm,,15900g,660mm,PL,,
,,,,,,,,,,,,
Laowa,Ultima,12 - 120mm,4.0,"3' 3""",29.5mm,114mm,,3200g,,PL,,
,OOOM,25 - 100mm,2.9,2',,100mm,95mm,2500g,245mm,PL / EF / FE,9,
,,20 - 85mm,4.0,"1' 10""",31.5mm,80mm,77mm,1350g,150mm,PL,9,
,Ranger,11 - 18mm,2.9,"14""",31.5mm,80mm,77mm,745g,108mm,PL / RF / E / Z / L / X,11,
,,17 - 50mm,2.9,"14""",31.5mm,80mm,77mm,865g,117mm,PL / RF / E / Z / L / X,11,
,,50 - 130mm,2.9,"29""",31.5mm,80mm,77mm,760g,136mm,PL / RF / E / Z / L / X,11,
,Nanomorph (1.5x squeeze),28 - 55mm,2.9,"1' 5""",31.5mm,80mm,77mm,1513g,189mm,PL / RF / E / Z / L / X,,"1.5x squeeze anamorphic, optional amber / silver / blue flare versions available"
,,50 - 100mm,2.9,"2' 7""",31.5mm,80mm,77mm,1500g,187mm,PL / RF / E / Z / L / X,,"1.5x squeeze anamorphic, optional amber / silver / blue flare versions available"
,,,,,,,,,,,,
Lomo,,20 - 120mm,3.6,,,150mm,,5900g,351mm,,,
,,25 - 80mm,3.3,,,75mm,,850g,154mm,,,
,,25 - 100mm,4.0,,,93mm,,1250g,192mm,,,
,,25 - 150mm,3.6,,,209mm,,12000g,352mm,,,
,,25 - 250mm,4.1,,,146mm,,4100g,275mm,,,
,,25 - 500mm,4.4,,,260mm,,17000g,460mm,,,
,,,,,,,,,,,,
Musashi,Takumi,23.9 - 195mm,2.9,"3' 10""",29.5mm,136mm,,8900g,389mm,PL,9,
,,,,,,,,,,,,
