manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,entrance pupil,magnification ratio (H),notes
,,55mm,2.1,2',31.5mm,95mm,,1260g,108mm,PL / EF,16,,,blue / gold coatings available
,,65mm,2.8,"1' 2""",31.5mm,95mm,,1960g,108mm,PL / EF,16,,,blue / gold coatings available
,,75mm,2.1,"2' 9""",31.5mm,95mm,,1460g,160mm,PL / EF,16,,,blue / gold coatings available
,,100mm,2.4,"3' 1""",31.5mm,95mm,,1650g,127mm,PL / EF,16,,,blue / gold coatings available
,,135mm,2.5,"3' 3""",31.5mm,95mm,,1990g,143mm,PL / EF,16,,,blue / gold coatings available
,,180mm,2.8,"3' 5""",31.5mm,95mm,,1950g,160mm,PL / EF,16,,,blue / gold coatings available
,,,,,,,,,,,,,,
Kowa,Prominar,40mm,2.3,3',,74mm,,1000g,86mm,,,,,
,,50mm,2.3,3',,74mm,,1000g,100mm,,,,,
,,75mm,2.8,3',,74mm,,1200g,129mm,,,,,
,,100mm,3.4,5',,74mm,,1000g,160mm,,,,,
,,,,,,,,,,,,,,
Laowa,Nanomorph,27mm,2.8,"1' 4""",30.18mm,80mm,77mm,490g,67mm,"EF, PL",13,,,
,(1.5x squeeze),35mm,2.4,"1' 11""",30.18mm,80mm,77mm,520g,75mm,"EF, PL",13,,,
,,50mm,2.4,"2' 3""",30.18mm,80mm,77mm,550g,75mm,"EF, PL",13,,,
,,60mm,2.9,"9.44""",,,,,,,,,,
,,65mm,2.4,"2' 3""",33.9mm,80mm,77mm,820g,95mm,"EF, PL",13,,,
,,80mm,2.4,"2' 3""",33.9mm,80mm,77mm,830g,110mm,"EF, PL",13,,,
,,,,,,,,,,,,,,
,Proteus,28mm,2.0,"1' 7""",33.74mm,114mm,105mm,2400g,182mm,"EF, PL",10,,,
,and,35mm,2.0,"1' 10""",33.74mm,114mm,105mm,2400g,182mm,"EF, PL",10,,,amber / blue / silver coatings available
,Proteus Flex,45mm,2.0,"1' 10""",33.74mm,114mm,105mm,2400g,182mm,"EF, PL",10,,,amber / blue / silver coatings available
,,60mm,2.0,"2' 4""",33.74mm,114mm,105mm,2300g,198mm,"EF, PL",10,,,amber / blue / silver coatings available
,,85mm,2.0,"2' 9""",33.74mm,114mm,105mm,2950g,240mm,"EF, PL",10,,,amber / blue / silver coatings available
,,100mm,2.0,3' 3',33.74mm,114mm,105mm,2800g,240mm,"EF, PL",10,,,
,,,,,,,,,,,,,,
,Proteus zoom,26 - 45mm,2.9,"1' 7""",31.9mm,80mm,77mm,1533g,190mm,PL,11,,,
,,45 - 85mm,2.9,"2' 11""",31.9mm,80mm,77mm,1495g,194mm,PL,11,,,
,,,,,,,,,,,,,,
Lomo,Square Front,22mm,3.4,"3' 3""",,,,1800g,82.5mm,,,,,
,,35mm,2.8,,,,,1380g,,,,,,
,,30mm,3.2,,,,,,,,,,,
,,50mm,2.4,,,,,1400g,,,,,,
,,80mm,2.5,,,,,,,,,,,
,,37 - 140mm,4.5,"5' 3""",,98mm,,2840g,245mm,,,,,
,,,,,,,,,,,,,,
,Round Front,35mm,2.4,"3' 3""",,141mm,,3400g,,,,,,
,,50mm,2.4,"3' 3""",,104mm,100mm,,,,,,,
,,75mm,2.4,"3' 3""",,104mm,100mm,1885g,,,,,,
,,100mm,3.2,,,104mm,100mm,,,,,,,
,,150mm,3.4,,,,,,,,,,,
,,300mm,4.8,13',,,,,,,,,,
,,500mm,6.2,"14' 9""",,,,,,,,,,
,,40 - 120mm,3.1,"3' 3""",,153mm,,7500g,334mm,,,,,
,,40 - 240mm,5.0,"3' 3""",,,,,,,,,,
,,,,,,,,,,,,,,
,High Speed,35mm,1.5,"3' 3""",,156mm,,,,,,,,
,,50mm,1.3,"3' 3""",,104mm,100mm,2150g,,,,,,
,,75mm,1.5,"3' 3""",,104mm,100mm,2750g,,,,,,
,,,,,,,,,,,,,,
Optica-Elite,S-7,24.5mm,2.2,"3' 3""",33.54mm,142mm,,2800g,160mm,PL,,,,
,,40mm,2.2,"2' 4""",33.54mm,110mm,,2900g,195mm,PL,,,,
,,50mm,1.9,"3' 3""",33.54mm,110mm,,2900g,210mm,PL,,,,
,,75mm,1.9,"3' 3""",33.54mm,110mm,,3100g,210mm,PL,,,,
,,100mm,2.3,"3' 3""",33.54mm,110mm,,3200g,210mm,PL,,,,
,,135mm,2.8,"3' 3""",33.54mm,110mm,,3600g,260mm,PL,,,,
,,,,,,,,,,,,,,
,MKV,24.5mm,2.1,"3' 4""",,142mm,,2500g,159mm,PL,,,,
,,32mm,2.1,"3' 4""",,178mm,,6500g,267mm,PL,,,,
,,40mm,2.1,"3' 4""",,156mm,,5200g,240mm,PL,,,,
,,50mm,2.1,"3' 4""",,156mm,,5400g,256mm,PL,,,,
,,75mm,2.1,"3' 4""",,156mm,,4900g,314mm,PL,,,,
,,100mm,2.1,"3' 4""",,124mm,,6200g,365mm,PL,,,,
,,135mm,2.5,5',,124mm,,5600g,430mm,PL,,,,
,,180mm,2.8,5',,124mm,,5100g,407mm,PL,,,,
,,250mm,3.0,6',,124mm,,5500g,472mm,PL,,,,
,lightweight,50 - 160mm,4.9,"3' 4""",,110mm,,1300g,181mm,PL,,,,
,,50 - 500mm,4.5,,,,,,,PL,,,,
,,240 - 1040mm,4.8,"13' 2""",,182mm,,18000g,735mm,PL,,,,
,,,,,,,,,,,,,,
P+S Technik,Evolution 2X,32mm,2.4,"2' 1""",31.1mm,110mm,,1800g,179mm,PL / LPL,,,,
,,40mm,2.4,3',31.1mm,80mm,,1100g,146mm,PL / LPL,,,,1.5X squeeze
,,50mm,2.4,3',31.1mm,80mm,,1200g,155mm,PL / LPL,,,,1.5X squeeze
,,75mm,2.5,3',31.1mm,80mm,,1500g,203mm,PL / LPL,,,,1.5X squeeze
,,100mm,3.2,5',31.1mm,80mm,,1600g,215mm,PL / LPL,,,,1.5X squeeze
,,135mm,3.5,5',31.1mm,80mm,,1900g,294mm,PL / LPL,,,,1.5X squeeze
,,,,,,,,,,,,,,
Powerscope,,22mm,3.4,,,,,,,,,,,
,,30mm,3.2,,,,,,,,,,,
,,35mm,2.4,,,,,,,,,,,
,,50mm,2.4,,,,,,,,,,,
,,75mm,2.4,,,,,,,,,,,
,,100mm,3.2,,,,,,,,,,,
,,150mm,3.4,,,,,,,,,,,
,,40 - 200mm,5.1,,,,,,,,,,,
,,,,,,,,,,,,,,
ServiceVision,Scorpiolens,20mm,2.8,"15""",31.14mm,95mm,,,190mm,PL,,,,
,,25mm,2.0,"18""",31.14mm,95mm,,,190mm,PL,,,,
,,30mm,2.0,"18""",31.14mm,95mm,,,190mm,PL,,,,
,,35mm,2.0,"18""",31.14mm,95mm,,,160mm,PL,,,,
,,40mm,2.0,"21""",31.14mm,95mm,,,160mm,PL,,,,
,,50mm,2.0,"21""",31.14mm,95mm,,,160mm,PL,,,,
,,60mm,2.0,"2' 3""",31.14mm,95mm,,,160mm,PL,,,,
,,75mm,2.0,"2' 6""",31.14mm,95mm,,,160mm,PL,,,,
,,100mm,2.0,"3' 3""",31.14mm,95mm,,,160mm,PL,,,,
,,135mm,2.8,"4' 3""",31.14mm,95mm,,,160mm,PL,,,,
,,150mm,2.8,5',31.14mm,95mm,,,190mm,PL,,,,
,,200mm,2.8,6',31.14mm,95mm,,,190mm,PL,,,,
,,250mm,2.8,"6' 6""",31.14mm,95mm,,,220mm,PL,,,,
