manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
,,35mm,2.1,"13""",31.5mm,104mm,,2200g,166mm,PL / EF,,not internal focusing
,,50mm,2.0,"14""",31.5mm,104mm,,1930g,166mm,PL / EF,,not internal focusing
,,75mm,2.0,"18""",31.5mm,104mm,,1970g,166mm,PL / EF,,not internal focusing
,,95mm,2.0,"26""",31.5mm,104mm,,2150g,166mm,PL / EF,,not internal focusing
,,,,,,,,,,,,
Sony,PL Primes MKII,20mm,2.0,"10""",,114mm,,,120mm,,9,
,,25mm,2.0,"10""",,114mm,,,120mm,,9,
,,35mm,2.0,"1' 2""",,114mm,,,120mm,,9,
,,50mm,2.0,"1' 7""",,114mm,,,120mm,,9,
,,85mm,2.0,"2' 11""",,114mm,,,120mm,,9,
,,135mm,2.0,"2' 10""",,114mm,,,145mm,,9,
,,,,,,,,,,,,
,PL Primes MKI,35mm,2.0,,,114mm,,,,,,kit lens with Sony F3 camera
,,50mm,2.0,,,114mm,,,,,,kit lens with Sony F3 camera
,,85mm,2.0,,,114mm,,,,,,kit lens with Sony F3 camera
,,,,,,,,,,,,
TLS,NEO Super Baltar,20mm,2.3,,,114mm,,,,PL,,
,,25mm,2.3,,,114mm,,,,PL,,
,,35mm,2.3,,,114mm,,,,PL,,
,,50mm,2.3,,,114mm,,,,PL,,
,,75mm,2.3,,,114mm,,,,PL,,
,,100mm,2.3,,,114mm,,,,PL,,
,,152mm,3.0,,,114mm,,,,PL,,
,,,,,,,,,,,,
Uniq Optics,Signature Series,18mm,1.9,"14""",34mm,110mm,,2600g,156.8mm,PL,,
,,25mm,1.9,"13""",36mm,110mm,,2600g,156.8mm,PL,,
,,35mm,1.9,"16""",38mm,110mm,,2600g,156.8mm,PL,,
,,50mm,1.9,"15""",43mm,110mm,,1815g,122.4mm,PL,,
,,85mm,1.9,"21""",43mm,110mm,,1815g,122.4mm,PL,,
,,100mm,1.9,"24""",43mm,110mm,,1815g,122.4mm,PL,,
,,,,,,,,,,,,
Vantage,Vantage One,17.5mm,1.0,"10""",,110mm,,1900g,152mm,PL,,available in partially uncoated version
,,21mm,1.0,"10""",,110mm,,1800g,142mm,PL,,available in partially uncoated version
,,25mm,1.0,"10""",,110mm,,1600g,124mm,PL,,available in partially uncoated version
,,32mm,1.0,"10""",,110mm,,1500g,126mm,PL,,available in partially uncoated version
,,40mm,1.0,"14""",,110mm,,1500g,126mm,PL,,available in partially uncoated version
,,50mm,1.0,"14""",,110mm,,1600g,124mm,PL,,available in partially uncoated version
,,65mm,1.0,"14""",,110mm,,1600g,124mm,PL,,available in partially uncoated version
,,90mm,1.0,"20""",,130mm,,2000g,142mm,PL,,available in partially uncoated version
,,120mm,1.0,"30""",,150mm,,2800g,174mm,PL,,available in partially uncoated version
,,,,,,,,,,,,
,MiniHawk,35mm,1.7,"10""",s35,110mm,,1800g,145mm,PL,,
,,40mm,1.7,"10""",s35,110mm,,1800g,145mm,PL,,
,,50mm,1.7,"10""",s35,110mm,,1500g,130mm,PL,,
,,65mm,1.7,"10""",s35,110mm,,1500g,130mm,PL,,
,,75mm,1.7,"1' 2""",s35,110mm,,1500g,130mm,PL,,
,,100mm,1.7,"1' 2""",s35,110mm,,1600g,130mm,PL,,
,,135mm,1.7,"1' 2""",s35,110mm,,1600g,130mm,PL,,
,,180mm,1.7,"1' 8""",s35,125mm,,1900g,150mm,PL,,
,,,,,,,,,,,,
Whitepoint Optics,Neo Super Baltar,20mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,25mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,35mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,35mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,50mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,75mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,100mm,2.3,,,110mm,,,,PL / LPL / E / EF,16,
,,152mm,3.0,,,110mm,,,,PL / LPL / E / EF,16,
,,229mm,4.4,,,110mm,,,,PL / LPL / E / EF,16,
