name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil (h),entrance pupil (v),notes
,135mm,2.0,6',,,,,PL,,,,
,,,,,,,,,,,,
Canon Xtal Express,24mm,1.5,3',,,,,PL,,,,
,35mm,1.3,"3' 6""",,,,,PL,,,,
,50mm,1.3,3',,,,,PL,,,,
,85mm,1.3,3',,,,,PL,,,,
,100mm,2.0,4',,,,,PL,,,,
,,,,,,,,,,,,
Angenieux,34 - 204mm,4.5,,,,,,PV,,,,
,50 - 500mm,5.6,,,,,,PV,,,,
,48 - 580mm,5.6,,,,,,PV,,,,
,,,,,,,,,,,,
Cooke,28 - 140mm,4.5,"2' 4""",,,,,PV,,,,
,36 - 200mm,4.5,"2' 6""",,,,,PV,,,,
,40 - 200mm,4.5,"2' 4""",,,,,PV,,,,
,50 - 500mm,5.6,"5' 6""",,,,,PV,,,,
,,,,,,,,,,,,
Slant Focus,90mm,4.3,"17""",,104mm,1362g,104mm,PV,,,,
Wide Angle Distortion,25mm,2.5,"60""",,,,,PV,,,,
Close Focus,55mm,2.5,"10""",,,,,PV,,,,
Insert / Process,100mm,2.8,"52""",,,,,PV,,,,
Macro Panatar,150mm,3.2,"17""",,107mm,2769g,181mm,PV,,,,
,200mm,3.2,"18""",,107mm,2588g,181mm,PV,,,,
,250mm,3.2,"29""",,107mm,2724g,181mm,PV,,,,
