Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes
,,70 -200mm,3.5,"3' 7""",43.3mm,136mm,,5500g,401mm,LPL / PL,,
,,,,,,,,,,,,
Rokinon,Xeen Anamorphic,50mm,2.3,"3' 3""",43.3mm,114mm,,3900g,199mm,PL,15,
(Samyang),(2x squeeze),,,,,,,,,,,
,,,,,,,,,,,,
Second Reef,Coral Anamorphic,35mm,2.8,"20.5""",,134mm,,2900g,148mm,,,
,(1.5x squeeze),50mm,2.6,"17.7""",,114mm,,2200g,148mm,,,
,,75mm,2.8,"2' 1""",,114mm,,2100g,168mm,,,
,,90mm,2.8,"2' 1""",,114mm,,2100g,168mm,,,
,,120mm,2.8,"2' 1""",,114mm,,2100g,168mm,,,
,,,,,,,,,,,,
Servicevision,FFA Scorpiolens,20mm,2.8,"16""",35mm,95mm,,,190mm,PL,,
,(2x squeeze),25mm,2.2,"18""",35mm,95mm,,,190mm,PL,,
,,30mm,2.2,"16""",37.4mm,95mm,,,190mm,PL,,
,,35mm,2.2,"18""",37.4mm,95mm,,,160mm,PL,,
,,40mm,2.2,"20""",37.4mm,95mm,,,160mm,PL,,
,,50mm,2.2,"22""",37.4mm,95mm,,,160mm,PL,,
,,60mm,2.8,"12""",37.4mm,95mm,,,190mm,PL,,
,,75mm,2.2,"2' 6""",37.4mm,95mm,,,160mm,PL,,
,,100mm,2.2,"3' 3""",37.4mm,95mm,,,160mm,PL,,
,,135mm,2.2,"3' 3""",37.4mm,95mm,,,160mm,PL,,
,,150mm,2.8,"3' 3""",37.4mm,95mm,,,190mm,PL,,
,,200mm,2.8,1:1 macro,37.4mm,95mm,,,190mm,PL,,
,,250mm,2.8,"3' 3""",37.4mm,95mm,,,220mm,PL,,
,,300mm,2.8,"3' 3""",37.4mm,95mm,,,220mm,PL,,
,,138 - 405mm,4.3,"5""",37.4mm,95mm,,3300g,288mm,PL,,
,,,,,,,,,,,,
,Scorpiorama 70,25mm,2.8,"1' 8""",48mm,125mm,,,160mm,PL,,
,(1.65x squeeze),32mm,2.2,"1' 11""",48mm,110mm,,,160mm,PL,,
,,40mm,2.2,"1' 11""",48mm,110mm,,,160mm,PL,,
,,50mm,2.2,"1' 11""",48mm,110mm,,,160mm,PL,,
,,60mm,2.8,"12""",48mm,110mm,,,220mm,PL,,
,,75mm,2.2,"2' 3""",48mm,110mm,,,160mm,PL,,
,,100mm,2.2,"2' 11""",48mm,110mm,,,160mm,PL,,
,,135mm,2.2,"3' 3""",48mm,110mm,,,190mm,PL,,
,,150mm,2.8,"3' 3""",48mm,110mm,,,190mm,PL,,
,,180mm,2.8,"3' 3""",48mm,110mm,,,190mm,PL,,
,,200mm,2.8,1:1 macro,48mm,110mm,,,220mm,PL,,
,,250mm,,,48mm,110mm,,,,PL,,
,,300mm,,,48mm,110mm,,,,PL,,
,,,,,,,,,,,,
Spirit Lab,Pure First,40 - 100mm,3.5,"3' 3""",50mm,134mm,,6700g,414.5mm,PL / LPL / EF / E,,
,,,,,,,,,,,,
Vazen,1.8XFF,50mm,2.1,"3' 6""",>46.3mm,95mm,86mm,1550g,133mm,PL / EF,,
,,85mm,2.8,"3' 10""",>46.3mm,95mm,86mm,1490g,175mm,PL / EF,,
,,,,,,,,,,,,
Viltrox,Epic,25mm,2.0,"20""",,95mm,,2020g,152mm,PL / E / L,8,
,(1.33x squeeze),35mm,2.0,"2' 7""",,95mm,,1980g,133mm,PL / E / L,8,
,,50mm,2.0,"2' 7""",,95mm,,1980g,133mm,PL / E / L,8,
,,75mm,2.0,"3' 3""",,95mm,,1980g,133mm,PL / E / L,8,
,,100mm,2.0,"2' 9""",,95mm,,2700g,180mm,PL / E / L,8,
,,,,,,,,,,,,
Xelmus,Apollo,24mm,2.0,"21""",34mm,136mm,,2530g,140mm,PL,14,
,,32mm,2.0,"15""",36.5mm,114mm,,1780g,115mm,PL,14,
,,40mm,2.0,"15""",48.8mm,114mm,,1760g,115mm,PL,14,
,,50mm,1.7,"16""",49.6mm,104mm,,1790g,134mm,PL,14,
,,60mm,1.6,"16.5""",53.2mm,104mm,,1800g,134mm,PL,14,
,,75mm,2.0,"21""",67.3mm,104mm,,1950g,152mm,PL,14,
,,100mm,2.3,"17.5""",81.4mm,104mm,,2070g,163mm,PL,14,
,,135mm,2.8,"29.5""",84.2mm,104mm,,2390g,170mm,PL,14,
,,180mm,2.8,3',99mm,104mm,,2960g,240mm,PL,14,
